artist_id,artist_name,artist_type,external_url
2FKWNmZWDBZR4dE5KX4plR,Diljit Dosanjh,artist,https://api.spotify.com/v1/artists/2FKWNmZWDBZR4dE5KX4plR
183DgO92lAqgpVVNKI7ZKF,Raj Ranjodh,artist,https://api.spotify.com/v1/artists/183DgO92lAqgpVVNKI7ZKF
2DFCHTDIA0t638a4mm37dK,Raj Shekhar,artist,https://api.spotify.com/v1/artists/2DFCHTDIA0t638a4mm37dK
1wRPtKGflJrBx9BmLsSwlU,Pritam,artist,https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU
1n9EM0Y4A89vuRiA93gSS9,Kaifi Khalil,artist,https://api.spotify.com/v1/artists/1n9EM0Y4A89vuRiA93gSS9
0kcv0RnAZxw2dnUwq7bz9h,Anmol Daniel,artist,https://api.spotify.com/v1/artists/0kcv0RnAZxw2dnUwq7bz9h
5PVSEFUT4Inqu3yEq56Ku9,Raghav,artist,https://api.spotify.com/v1/artists/5PVSEFUT4Inqu3yEq56Ku9
1sVmXkzX2ukc6QvasrDBES,Asees Kaur,artist,https://api.spotify.com/v1/artists/1sVmXkzX2ukc6QvasrDBES
3tGyiAF7Oo7m9G8sdJZ2XI,Nina Mathur,artist,https://api.spotify.com/v1/artists/3tGyiAF7Oo7m9G8sdJZ2XI
4Ai0pGz6GhQavjzaRhPTvz,DIVINE,artist,https://api.spotify.com/v1/artists/4Ai0pGz6GhQavjzaRhPTvz
3tPQOjkxO3mrYrrgkTeXgH,Nikhita Gandhi,artist,https://api.spotify.com/v1/artists/3tPQOjkxO3mrYrrgkTeXgH
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,artist,https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O
19LIHDDSHBD5NyYHI3gpzB,Shilpa Rao,artist,https://api.spotify.com/v1/artists/19LIHDDSHBD5NyYHI3gpzB
0m3D4grap8VFSzbJMqgNVk,Kumaar,artist,https://api.spotify.com/v1/artists/0m3D4grap8VFSzbJMqgNVk
4cAERazLlAzVGA10ORWaUP,Manoj Muntashir,artist,https://api.spotify.com/v1/artists/4cAERazLlAzVGA10ORWaUP
3GdSQUH1BRtl9UrrtuwJlP,Irshad Kamil,artist,https://api.spotify.com/v1/artists/3GdSQUH1BRtl9UrrtuwJlP
0lve5IC1Fy0kxyzy8deBih,Yashika Sikka,artist,https://api.spotify.com/v1/artists/0lve5IC1Fy0kxyzy8deBih
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,artist,https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG
15UQcr22jcc6DJjy3sLv3J,Rashmeet Kaur,artist,https://api.spotify.com/v1/artists/15UQcr22jcc6DJjy3sLv3J
4gdMJYnopf2nEUcanAwstx,Anuv Jain,artist,https://api.spotify.com/v1/artists/4gdMJYnopf2nEUcanAwstx
74OaRjmyh0XyRZsQQQ5l7c,Jasleen Royal,artist,https://api.spotify.com/v1/artists/74OaRjmyh0XyRZsQQQ5l7c
3NHwwyb1coYa5cLyI72xSk,Harrykahanhai,artist,https://api.spotify.com/v1/artists/3NHwwyb1coYa5cLyI72xSk
30DC0uyycct5LGcqhzE6a3,Sharvi Yadav,artist,https://api.spotify.com/v1/artists/30DC0uyycct5LGcqhzE6a3
597A6e3D22Vq4gxyh4mUjh,Hiten,artist,https://api.spotify.com/v1/artists/597A6e3D22Vq4gxyh4mUjh
6WixbETKEXH0xBf0OB9kRB,Shadab Faridi,artist,https://api.spotify.com/v1/artists/6WixbETKEXH0xBf0OB9kRB
38IHJBGBuaYXHEkIQd4DtF,Altamash Faridi,artist,https://api.spotify.com/v1/artists/38IHJBGBuaYXHEkIQd4DtF
5zWKMBKw7KqulFxyz2ULvp,Ila Arun,artist,https://api.spotify.com/v1/artists/5zWKMBKw7KqulFxyz2ULvp
7pauOFC9bRqioSX30AvNkG,IP Singh,artist,https://api.spotify.com/v1/artists/7pauOFC9bRqioSX30AvNkG
2jiSIlVrIaBnJA2x4jqqvf,Akshay & IP,artist,https://api.spotify.com/v1/artists/2jiSIlVrIaBnJA2x4jqqvf
7gU9VyFRN3JWPJ5oHOil60,Tayc,artist,https://api.spotify.com/v1/artists/7gU9VyFRN3JWPJ5oHOil60
4yxICw7joYAxRI2sTRldLB,Rajat Nagpal,artist,https://api.spotify.com/v1/artists/4yxICw7joYAxRI2sTRldLB
3HrBxG64scPxP1mrTmZxM6,Jacqueline Fernandez,artist,https://api.spotify.com/v1/artists/3HrBxG64scPxP1mrTmZxM6
0lMa3YTHqQnDDTBaxAV7LK,Ranveer Singh,artist,https://api.spotify.com/v1/artists/0lMa3YTHqQnDDTBaxAV7LK
5Uvn1P3OFu268QovsUAnDu,Madan Mohan,artist,https://api.spotify.com/v1/artists/5Uvn1P3OFu268QovsUAnDu
3TOhzLRYnkkul71yRBxIoM,Akhil Sachdeva,artist,https://api.spotify.com/v1/artists/3TOhzLRYnkkul71yRBxIoM
4Kd6rJWBl4KpwRYct9PFMo,Aashir Wajahat,artist,https://api.spotify.com/v1/artists/4Kd6rJWBl4KpwRYct9PFMo
7B0H8l9inK2UBRm5Xsc9zO,NAYEL,artist,https://api.spotify.com/v1/artists/7B0H8l9inK2UBRm5Xsc9zO
6YSVUxXGsQQD2cWSJhN8re,Nehaal Naseem,artist,https://api.spotify.com/v1/artists/6YSVUxXGsQQD2cWSJhN8re
1Taiu6ysv5t5sVhhMYYucf,Akashdeep Sengupta,artist,https://api.spotify.com/v1/artists/1Taiu6ysv5t5sVhhMYYucf
5M4WmRBIQBWlBflNZj7BTG,Laqshay Kapoor,artist,https://api.spotify.com/v1/artists/5M4WmRBIQBWlBflNZj7BTG
1Uy4rDTdXHBBSAjDTOKoRC,Suvarna Tiwari,artist,https://api.spotify.com/v1/artists/1Uy4rDTdXHBBSAjDTOKoRC
09UmIX92EUH9hAK4bxvHx6,Mithoon,artist,https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6
2pGRniGOJSOvYoK3dGaBb8,Sayeed Quadri,artist,https://api.spotify.com/v1/artists/2pGRniGOJSOvYoK3dGaBb8
3sR271VJyaakVXllBttyl6,Vivian Richard,artist,https://api.spotify.com/v1/artists/3sR271VJyaakVXllBttyl6
0uwbmn6SWX4kujbrDTnjaj,JUNO,artist,https://api.spotify.com/v1/artists/0uwbmn6SWX4kujbrDTnjaj
56SjZARoEvag3RoKWIb16j,B Praak,artist,https://api.spotify.com/v1/artists/56SjZARoEvag3RoKWIb16j
59pq5Vw16UDkR9txoPKv86,Prakriti Kakar,artist,https://api.spotify.com/v1/artists/59pq5Vw16UDkR9txoPKv86
6WOdPJmexxFINcKMkP2jMG,Sachet Tandon,artist,https://api.spotify.com/v1/artists/6WOdPJmexxFINcKMkP2jMG
1E6arsXf5Fgsnv9YpSzjpE,Parampara Tandon,artist,https://api.spotify.com/v1/artists/1E6arsXf5Fgsnv9YpSzjpE
1SyKki7JI1AZNKwgNMkn25,Sachet-Parampara,artist,https://api.spotify.com/v1/artists/1SyKki7JI1AZNKwgNMkn25
4q7O0NIvhz0G1IgyfOmdcz,Swanand Kirkire,artist,https://api.spotify.com/v1/artists/4q7O0NIvhz0G1IgyfOmdcz
5NHm4TU5Twz7owibYxJfFU,King,artist,https://api.spotify.com/v1/artists/5NHm4TU5Twz7owibYxJfFU
